USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  3.3  0.1 119912  6148 ?        Ss   23:22   0:02 /sbin/init auto noprompt
root        363  0.0  0.0      0     0 ?        I    23:22   0:00 [kworker/1:3]
root        368  1.2  0.1  45980  4796 ?        Ss   23:22   0:01 /lib/systemd/systemd-udevd
root        372  0.0  0.0 158624   296 ?        Ssl  23:22   0:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root        394  0.0  0.2 201544 10096 ?        Ssl  23:22   0:00 /usr/bin/vmtoolsd
systemd+    458  0.0  0.0 102384  2452 ?        Ssl  23:22   0:00 /lib/systemd/systemd-timesyncd
root        678  0.0  0.2  85440  9324 ?        Ss   23:22   0:00 /usr/bin/VGAuthService
root        682  0.0  0.2 298464  8464 ?        Ssl  23:22   0:00 /usr/lib/accountsservice/accounts-daemon
message+    683  0.1  0.1  44136  4824 ?        Ss   23:22   0:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root        694  0.0  0.4 388864 16468 ?        Ssl  23:22   0:00 /usr/sbin/NetworkManager --no-daemon
root        695  0.0  0.0  36076  3032 ?        Ss   23:22   0:00 /usr/sbin/cron -f
syslog      696  0.0  0.0 256392  3384 ?        Ssl  23:22   0:00 /usr/sbin/rsyslogd -n
root        697  0.0  0.0  14360   800 ?        Ss   23:22   0:00 /usr/sbin/anacron -dsq
root        700  0.0  0.1 100344  7528 ?        Ss   23:22   0:00 /usr/sbin/cupsd -l
avahi       702  0.0  0.0  44904  3692 ?        Ss   23:22   0:00 avahi-daemon: running [passage.local]
root        715  0.0  0.0  28684  3068 ?        Ss   23:22   0:00 /lib/systemd/systemd-logind
avahi       716  0.0  0.0  44784   336 ?        S    23:22   0:00 avahi-daemon: chroot helper
root        719  0.0  0.0   4396  1304 ?        Ss   23:22   0:00 /usr/sbin/acpid
root        772  0.0  0.0  19620  2048 ?        Ss   23:22   0:00 /usr/sbin/irqbalance --pid=/var/run/irqbalance.pid
root        776  1.1  0.2 294232 10024 ?        Ssl  23:22   0:00 /usr/lib/policykit-1/polkitd --no-debug
root        777  0.0  0.2 274812  9648 ?        Ssl  23:22   0:00 /usr/sbin/cups-browsed
root        792  0.0  0.2 292168  8212 ?        Ssl  23:22   0:00 /usr/sbin/lightdm
